Layer,Name,Area,Length,Contents,Count,Block Unit,Color,Linetype,Closed,Area_m2
MB-ELEV 4,Line,,2.0340,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.9355,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.1685,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.8780,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.0050,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.0112,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.3655,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.3317,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.0690,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4004,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.9986,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.4051,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.0704,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4156,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.6565,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.2152,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.8751,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.0343,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.6856,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.2806,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4365,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.7584,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.0647,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,4.2065,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,4.0093,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.1061,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.6366,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.9637,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.1654,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.2430,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.2257,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.3381,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.1846,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.1514,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.2249,,1,,ByLayer,ByLayer,,
